Date (mm/dd/yyyy),Facility,Order received time,Order type,Pick/pack start time,Package ID,Package committed time,Zip Body,Call: Takeoff clearance,Flight ID,Flight launched time,Delivery status,Delivery time,Recovery (or flight failure) time,Mission failure (if applicable),Fulfillment off-nominal event - 1,Fulfillment off-nominal event - 2,Flight off-nominal event - 1,Flight off-nominal event - 2,Flight off-nominal event - 3,Flight off-nominal event - 4,Downtime events - 1,Downtime events - 2,Comments,UTC Date
4/29/2020,Holy Family HSP (Indirect) (via Danteng Health Centre),4/29/2020 09:26:31,Resupply - Medical,4/29/2020 09:29:37,16931,4/29/2020 09:33:08,538,,18763,4/29/2020 09:37:10,Nominal delivery,4/29/2020 10:28:14,4/29/2020 11:23:56,,,,Wait for Zip to clear exceptions (use GPS specific off-nominal if waiting for GPS),,,,,,,4/29/2020 09:26:31
4/29/2020,Awenare HC (via Awenare Health Centre),4/29/2020 09:24:16,Resupply - Medical,4/29/2020 09:25:00,16925,4/29/2020 09:27:13,548,,18761,4/29/2020 09:29:43,Nominal delivery,4/29/2020 09:54:33,4/29/2020 10:25:10,,,,,,,,,,,4/29/2020 09:24:16
4/29/2020,Awenade CHPS,4/29/2020 08:19:22,Resupply - Vaccine,4/29/2020 08:29:08,17312,4/29/2020 08:31:11,549,,18779,4/29/2020 08:34:13,Nominal delivery,4/29/2020 09:24:56,4/29/2020 10:22:54,,,,Wait for Zip to acquire GPS fix,,,,,,,4/29/2020 08:19:22
4/28/2020,Noguchi Memorial Institute (via Noguchi),4/28/2020 17:29:42,Emergency - Sample,4/28/2020 17:46:14,16947,4/28/2020 18:48:59,250,,18743,4/28/2020 18:04:14,Nominal delivery,4/28/2020 18:48:06,4/28/2020 19:22:30,,,,COVID-19 samples,,,,,,COVID-19 Test samples,4/28/2020 17:29:42
4/28/2020,Noguchi Memorial Institute (via Noguchi),4/28/2020 17:29:42,Emergency - Sample,4/28/2020 17:31:32,16981,4/28/2020 18:48:41,207,,18741,4/28/2020 17:58:00,Nominal delivery,4/28/2020 18:42:00,4/28/2020 19:16:18,,,,COVID-19 samples,,,,,,COVID-19 Test samples,4/28/2020 17:29:42
4/28/2020,Kwahu Atibie HSP (Indirect) (via Nkwatia Health Center),4/28/2020 16:34:53,Resupply - Blood,4/28/2020 16:39:51,17030,4/28/2020 16:46:09,538,,18737,4/28/2020 16:49:28,Nominal delivery,4/28/2020 17:34:01,4/28/2020 18:23:54,,,,,,,,,,,4/28/2020 16:34:53
4/28/2020,Maame Krobo HC (Indirect) (via Ekye Health Centre),4/28/2020 16:05:05,Resupply - Medical,4/28/2020 16:09:33,17160,4/28/2020 16:12:54,198,,18746,4/28/2020 16:30:32,Nominal delivery,4/28/2020 17:18:17,4/28/2020 18:19:59,,,,Insufficient batteries to launch new flights,,,,,,,4/28/2020 16:05:05
4/28/2020,Maame Krobo HC (Indirect) (via Ekye Health Centre),4/28/2020 16:05:05,Resupply - Medical,4/28/2020 16:07:50,17037,4/28/2020 16:12:31,187,,18744,4/28/2020 16:37:46,Nominal delivery,4/28/2020 17:25:29,4/28/2020 18:27:24,,,,Insufficient batteries to launch new flights,,,,,,,4/28/2020 16:05:05
4/28/2020,Obosono CHPS,4/28/2020 14:51:13,Resupply - Vaccine,4/28/2020 15:06:07,16937,4/28/2020 15:19:59,229,,18725,4/28/2020 15:58:30,Nominal delivery,4/28/2020 16:19:35,4/28/2020 16:41:07,,,,Insufficient batteries to launch new flights,,,,,,,4/28/2020 14:51:13
4/28/2020,Obosono CHPS,4/28/2020 14:51:13,Resupply - Vaccine,4/28/2020 15:06:07,16937,4/28/2020 15:19:59,187,,18720,,Nominal delivery,,,,,,Wait for Zip to clear exceptions (use GPS specific off-nominal if waiting for GPS),,,,Nest > Launcher > Launcher routine maintenance,Nest > Recovery > Recovery routine maintenance,,4/28/2020 14:51:13
4/28/2020,Anyinasin CHPS,4/28/2020 14:40:50,Resupply - Vaccine,4/28/2020 15:14:22,16984,4/28/2020 15:17:03,228,,18716,4/28/2020 15:42:56,Nominal delivery,4/28/2020 15:56:22,4/28/2020 16:12:05,,,,Insufficient batteries to launch new flights,,,,,,,4/28/2020 14:40:50
4/28/2020,Anyinasin CHPS,4/28/2020 14:40:50,Resupply - Vaccine,4/28/2020 15:14:22,16984,4/28/2020 15:17:03,250,,18727,4/28/2020 15:35:44,Mission failure before delivery,,4/28/2020 15:39:33,UNI_ITC_UART_DATA_CONNECTION_UNRELIABLE,,,Insufficient batteries to launch new flights,,,,,,,4/28/2020 14:40:50
4/28/2020,,,,,siteid_742,,187,,18629,4/28/2020 13:42:36,Nominal delivery,,4/28/2020 13:53:16,,,,,,,,Software > Software release,Weather > Wind at Nest,RTN,4/28/2020 13:39:58
4/28/2020,,,,,siteid_752,,187,,18631,,Nominal delivery,,,,,,,,,,Software > Software release,Weather > Wind at Nest,,4/28/2020 13:39:58
4/28/2020,Danteng HC (via Danteng Health Centre),4/28/2020 13:35:14,Emergency - Medical,4/28/2020 15:21:30,16948,4/28/2020 15:28:14,228,,18740,4/28/2020 16:20:04,Nominal delivery,4/28/2020 17:09:35,4/28/2020 18:05:37,,,,Insufficient batteries to launch new flights,,,,,,,4/28/2020 13:35:14
4/28/2020,Danteng HC (via Danteng Health Centre),4/28/2020 13:35:14,Emergency - Medical,4/28/2020 15:21:30,16948,4/28/2020 15:28:14,198,,18724,4/28/2020 16:08:11,Mission failure before delivery,,,CAN_MASTER_REMOTE_FAILOVER,,,Insufficient batteries to launch new flights,,,,,,,4/28/2020 13:35:14
4/28/2020,Danteng HC (via Danteng Health Centre),4/28/2020 13:35:14,Emergency - Medical,4/28/2020 15:23:26,17155,,250,,18722,4/28/2020 16:01:11,Nominal delivery,4/28/2020 16:49:25,4/28/2020 17:45:45,,,,Insufficient batteries to launch new flights,,,,,,,4/28/2020 13:35:14
4/28/2020,Danteng HC (via Danteng Health Centre),4/28/2020 13:35:14,Emergency - Medical,4/28/2020 14:46:08,16950,4/28/2020 14:53:17,559,,18739,4/28/2020 17:15:51,Nominal delivery,4/28/2020 18:04:02,4/28/2020 19:01:59,,,,Insufficient batteries to launch new flights,,,,,,,4/28/2020 13:35:14
4/28/2020,Danteng HC (via Danteng Health Centre),4/28/2020 13:35:14,Emergency - Medical,4/28/2020 14:46:08,16950,4/28/2020 14:53:17,237,,18729,,Nominal delivery,,,,,,,,,,Nest > Launcher > Launcher routine maintenance,Nest > Recovery > Recovery routine maintenance,,4/28/2020 13:35:14
4/28/2020,Danteng HC (via Danteng Health Centre),4/28/2020 13:35:14,Emergency - Medical,4/28/2020 14:07:04,16934,4/28/2020 14:10:06,243,,18745,4/28/2020 16:27:51,Nominal delivery,4/28/2020 17:16:37,4/28/2020 18:13:26,,,,Insufficient batteries to launch new flights,,,,,,,4/28/2020 13:35:14
4/28/2020,Danteng HC (via Danteng Health Centre),4/28/2020 13:35:14,Emergency - Medical,4/28/2020 13:49:30,17341,4/28/2020 13:57:48,229,,18643,4/28/2020 14:06:34,Nominal delivery,4/28/2020 14:54:56,4/28/2020 15:50:44,,,,Wait for launcher to be free,Delay follow-up flight to distant delivery site due to battery life concerns,,,,,,4/28/2020 13:35:14
4/28/2020,Danteng HC (via Danteng Health Centre),4/28/2020 13:35:14,Emergency - Medical,4/28/2020 13:57:13,17156,4/28/2020 13:57:30,548,,18713,4/28/2020 14:11:51,Nominal delivery,4/28/2020 14:59:40,4/28/2020 15:57:28,,,,Wait for launcher to be free,Delay follow-up flight to distant delivery site due to battery life concerns,,,,,,4/28/2020 13:35:14
4/28/2020,Danteng HC (via Danteng Health Centre),4/28/2020 13:35:14,Emergency - Medical,4/28/2020 13:49:36,16983,4/28/2020 13:53:11,187,,18715,4/28/2020 14:01:16,Nominal delivery,4/28/2020 14:49:00,4/28/2020 15:45:42,,,,Delay follow-up flight to distant delivery site due to battery life concerns,Wait for launcher to be free,,,,,,4/28/2020 13:35:14
4/28/2020,Danteng HC (via Danteng Health Centre),4/28/2020 13:35:14,Emergency - Medical,4/28/2020 13:44:07,17346,4/28/2020 13:49:15,207,,18710,4/28/2020 13:56:02,Nominal delivery,4/28/2020 14:44:03,4/28/2020 15:42:34,,,,Insufficient bodies to launch new flights ,,,,,,,4/28/2020 13:35:14
4/28/2020,Danteng HC (via Danteng Health Centre),4/28/2020 13:35:14,Emergency - Medical,4/28/2020 13:44:52,15234,4/28/2020 13:47:55,198,,18717,4/28/2020 14:17:09,Nominal delivery,4/28/2020 15:05:26,4/28/2020 16:02:14,,,,Wait for launcher to be free,Delay follow-up flight to distant delivery site due to battery life concerns,,,,,,4/28/2020 13:35:14
4/28/2020,Danteng HC (via Danteng Health Centre),4/28/2020 13:35:14,Emergency - Medical,4/28/2020 13:39:19,17044,4/28/2020 13:43:31,228,,18686,4/28/2020 13:50:40,Nominal delivery,4/28/2020 14:38:31,4/28/2020 15:35:20,,,,Insufficient bodies to launch new flights ,,,,,,,4/28/2020 13:35:14
4/28/2020,Sekyere CHPS,4/28/2020 13:30:13,Resupply - Vaccine,4/28/2020 15:07:12,17329,4/28/2020 15:13:10,243,,18728,4/28/2020 15:16:02,Nominal delivery,4/28/2020 15:44:35,4/28/2020 16:17:24,,,,Swap Zip component due to failed preflight inspection,,,,,,,4/28/2020 13:30:13
4/28/2020,Sekyere CHPS,4/28/2020 13:30:13,Resupply - Vaccine,4/28/2020 14:12:31,17161,4/28/2020 15:04:07,250,,18721,4/28/2020 14:31:00,Nominal delivery,4/28/2020 14:59:12,4/28/2020 15:32:21,,,,Insufficient bodies to launch new flights ,Wait for launcher to be free,,,,,,4/28/2020 13:30:13
4/28/2020,Sekyere CHPS,4/28/2020 13:30:13,Resupply - Vaccine,4/28/2020 14:37:46,17154,4/28/2020 15:03:40,559,,18704,4/28/2020 15:06:54,Nominal delivery,4/28/2020 15:35:57,4/28/2020 16:09:19,,,,Perform multiple control surface checks,,,,,,,4/28/2020 13:30:13
4/28/2020,Ehiamankyene CHPS,4/28/2020 12:05:23,Emergency - Medical,4/28/2020 12:06:09,17148,4/28/2020 12:09:12,542,,18700,4/28/2020 12:11:18,Nominal delivery,4/28/2020 12:42:29,4/28/2020 13:20:25,,,,,,,,,,,4/28/2020 12:05:23
4/28/2020,Obosono CHPS,4/28/2020 11:41:45,Resupply - Vaccine,4/28/2020 12:09:29,16897,4/28/2020 12:11:11,243,,18678,4/28/2020 12:13:37,Nominal delivery,4/28/2020 12:38:51,4/28/2020 12:56:52,,,,,,,,,,,4/28/2020 11:41:45
4/28/2020,Obosono CHPS,4/28/2020 11:41:45,Resupply - Vaccine,4/28/2020 11:56:54,15244,4/28/2020 11:59:33,237,,18692,4/28/2020 12:03:08,Nominal delivery,4/28/2020 12:26:42,4/28/2020 12:45:53,,,,Wait for Zip to clear exceptions (use GPS specific off-nominal if waiting for GPS),,,,,,,4/28/2020 11:41:45
4/28/2020,Forifori HC (Indirect) (via Ekye Health Centre),4/28/2020 11:37:26,Resupply - Medical,4/28/2020 13:34:39,16989,4/28/2020 13:37:08,566,,18718,4/28/2020 14:36:43,Nominal delivery,4/28/2020 15:23:32,4/28/2020 16:23:44,,,,Insufficient bodies to launch new flights ,,,,,,,4/28/2020 11:37:26
4/28/2020,Forifori HC (Indirect) (via Ekye Health Centre),4/28/2020 11:37:26,Resupply - Medical,4/28/2020 13:29:33,17041,4/28/2020 13:32:50,538,,18702,4/28/2020 14:43:21,Nominal delivery,4/28/2020 15:30:19,4/28/2020 16:30:16,,,,Insufficient bodies to launch new flights ,,,,,,,4/28/2020 11:37:26
4/28/2020,Forifori HC (Indirect) (via Ekye Health Centre),4/28/2020 11:37:26,Resupply - Medical,4/28/2020 13:26:11,16845,4/28/2020 13:29:45,237,,18719,4/28/2020 14:48:43,Nominal delivery,4/28/2020 15:36:23,4/28/2020 16:37:30,,,,Insufficient bodies to launch new flights ,Wait for launcher to be free,Delay follow-up flight to distant delivery site due to battery life concerns,,,,,4/28/2020 11:37:26
4/28/2020,Forifori HC (Indirect) (via Ekye Health Centre),4/28/2020 11:37:26,Resupply - Medical,4/28/2020 13:21:51,17326,4/28/2020 13:26:57,207,,18723,4/28/2020 15:46:23,Nominal delivery,4/28/2020 16:34:20,4/28/2020 17:34:40,,,,Insufficient batteries to launch new flights,,,,,,,4/28/2020 11:37:26
4/28/2020,Forifori HC (Indirect) (via Ekye Health Centre),4/28/2020 11:37:26,Resupply - Medical,4/28/2020 13:20:50,16971,4/28/2020 13:24:43,552,,18735,4/28/2020 16:45:49,Nominal delivery,4/28/2020 17:34:13,4/28/2020 18:37:49,,,,Insufficient batteries to launch new flights,,,,,,,4/28/2020 11:37:26
4/28/2020,Forifori HC (Indirect) (via Ekye Health Centre),4/28/2020 11:37:26,Resupply - Medical,4/28/2020 13:16:48,17325,4/28/2020 13:20:37,542,,18753,4/28/2020 17:08:20,Nominal delivery,4/28/2020 17:56:00,4/28/2020 18:59:08,,,,Insufficient batteries to launch new flights,,,,,,,4/28/2020 11:37:26
4/28/2020,Forifori HC (Indirect) (via Ekye Health Centre),4/28/2020 11:37:26,Resupply - Medical,4/28/2020 13:15:50,16847,4/28/2020 13:18:54,243,,18708,4/28/2020 13:24:07,Nominal delivery,4/28/2020 14:11:23,4/28/2020 15:11:49,,,,Wait for launcher to be free,,,,,,,4/28/2020 11:37:26
4/28/2020,Forifori HC (Indirect) (via Ekye Health Centre),4/28/2020 11:37:26,Resupply - Medical,4/28/2020 13:01:01,15161,4/28/2020 13:10:03,542,,18714,4/28/2020 13:29:17,Nominal delivery,4/28/2020 14:15:46,4/28/2020 15:15:20,,Fulfillment system issue,,Wait for launcher to be free,Delay follow-up flight to distant delivery site due to battery life concerns,,,,,,4/28/2020 11:37:26
4/28/2020,Forifori HC (Indirect) (via Ekye Health Centre),4/28/2020 11:37:26,Resupply - Medical,4/28/2020 12:58:12,16966,4/28/2020 13:02:31,237,,18730,4/28/2020 16:59:01,Nominal delivery,4/28/2020 17:46:44,4/28/2020 18:49:29,,,,Insufficient batteries to launch new flights,,,,,,,4/28/2020 11:37:26
4/28/2020,Forifori HC (Indirect) (via Ekye Health Centre),4/28/2020 11:37:26,Resupply - Medical,4/28/2020 12:50:19,17071,4/28/2020 12:55:10,549,,18731,4/28/2020 17:13:35,Nominal delivery,4/28/2020 18:01:06,4/28/2020 19:04:49,,,,Delay follow-up flight to distant delivery site due to battery life concerns,Insufficient batteries to launch new flights,,,,,,4/28/2020 11:37:26
4/28/2020,Forifori HC (Indirect) (via Ekye Health Centre),4/28/2020 11:37:26,Resupply - Medical,4/28/2020 12:28:43,16855,4/28/2020 12:32:37,552,,18711,4/28/2020 12:49:36,Nominal delivery,4/28/2020 13:36:37,4/28/2020 14:41:23,,,,Delay follow-up flight to distant delivery site due to battery life concerns,Wait for launcher to be free,,,,,,4/28/2020 11:37:26
4/28/2020,Forifori HC (Indirect) (via Ekye Health Centre),4/28/2020 11:37:26,Resupply - Medical,4/28/2020 12:25:32,15147,4/28/2020 12:27:40,549,,18703,4/28/2020 12:39:08,Mission failure after delivery,4/28/2020 13:27:11,4/28/2020 14:29:57,ROBIN_PROP_MOTOR_TEMPERATURE_OUT_OF_RANGE,,,Delay follow-up flight to distant delivery site due to battery life concerns,Wait for launcher to be free,,,,,,4/28/2020 11:37:26
4/28/2020,Forifori HC (Indirect) (via Ekye Health Centre),4/28/2020 11:37:26,Resupply - Medical,4/28/2020 12:21:24,17057,4/28/2020 12:24:45,538,,18701,4/28/2020 12:44:21,Nominal delivery,4/28/2020 13:30:53,4/28/2020 14:32:35,,,,Delay follow-up flight to distant delivery site due to battery life concerns,Wait for launcher to be free,,,,,,4/28/2020 11:37:26
4/28/2020,Forifori HC (Indirect) (via Ekye Health Centre),4/28/2020 11:37:26,Resupply - Medical,4/28/2020 12:15:15,16986,4/28/2020 12:17:43,566,,18699,4/28/2020 12:33:43,Nominal delivery,4/28/2020 13:20:46,4/28/2020 14:25:36,,,,Delay follow-up flight to distant delivery site due to battery life concerns,Wait for launcher to be free,,,,,,4/28/2020 11:37:26
4/28/2020,Forifori HC (Indirect) (via Ekye Health Centre),4/28/2020 11:37:26,Resupply - Medical,4/28/2020 12:13:30,15250,4/28/2020 12:15:46,250,,18707,4/28/2020 12:28:26,Nominal delivery,4/28/2020 13:15:48,4/28/2020 14:17:25,,,,Wait for launcher to be free,Delay follow-up flight to distant delivery site due to battery life concerns,,,,,,4/28/2020 11:37:26
4/28/2020,Forifori HC (Indirect) (via Ekye Health Centre),4/28/2020 11:37:26,Resupply - Medical,4/28/2020 12:12:11,16893,4/28/2020 12:14:31,198,,18685,4/28/2020 12:23:14,Nominal delivery,4/28/2020 13:10:43,4/28/2020 14:12:14,,,,Wait for launcher to be free,Delay follow-up flight to distant delivery site due to battery life concerns,,,,,,4/28/2020 11:37:26
4/28/2020,Forifori HC (Indirect) (via Ekye Health Centre),4/28/2020 11:37:26,Resupply - Medical,4/28/2020 12:09:37,17149,4/28/2020 12:10:38,548,,18705,4/28/2020 12:18:00,Nominal delivery,4/28/2020 13:05:21,4/28/2020 14:06:24,,,,Wait for launcher to be free,Swap Zip component due to failed preflight inspection,,,,,,4/28/2020 11:37:26
4/28/2020,Forifori HC (Indirect) (via Ekye Health Centre),4/28/2020 11:37:26,Resupply - Medical,4/28/2020 11:58:23,16910,4/28/2020 12:00:59,229,,18681,4/28/2020 12:06:02,Nominal delivery,4/28/2020 12:53:47,4/28/2020 13:56:26,,,,Wait for launcher to be free,,,,,,,4/28/2020 11:37:26
4/28/2020,Forifori HC (Indirect) (via Ekye Health Centre),4/28/2020 11:37:26,Resupply - Medical,4/28/2020 11:54:07,17345,4/28/2020 11:57:26,207,,18580,4/28/2020 12:00:34,Nominal delivery,4/28/2020 12:47:50,4/28/2020 13:50:07,,,,Delay follow-up flight to distant delivery site due to battery life concerns,,,,,,,4/28/2020 11:37:26
4/28/2020,Forifori HC (Indirect) (via Ekye Health Centre),4/28/2020 11:37:26,Resupply - Medical,4/28/2020 11:50:27,17334,4/28/2020 11:52:34,228,,18653,4/28/2020 11:55:14,Nominal delivery,4/28/2020 12:42:26,4/28/2020 13:47:30,,,,,,,,,,,4/28/2020 11:37:26
4/28/2020,,,,,siteid_748,,559,,18695,,Nominal delivery,,,,,,,,,,Software > Software release,Weather > Wind at Nest,,4/28/2020 11:30:25
4/28/2020,Asuaba CHPS,4/28/2020 10:54:24,Resupply - Medical,4/28/2020 11:05:00,17350,4/28/2020 11:08:09,538,,18698,4/28/2020 11:36:21,Nominal delivery,4/28/2020 12:03:19,4/28/2020 12:28:16,,,,Wait for launcher to be free,Insufficient batteries to launch new flights,,,,,,4/28/2020 10:54:24
4/28/2020,Asuaba CHPS,4/28/2020 10:54:24,Resupply - Medical,4/28/2020 11:05:00,17350,4/28/2020 11:08:09,542,,18675,4/28/2020 11:11:03,Nominal delivery,,4/28/2020 11:30:19,,,,Perform multiple control surface checks,,,,,,,4/28/2020 10:54:24
4/28/2020,Noguchi Memorial Institute (via Noguchi),4/28/2020 10:44:24,Emergency - Sample,4/28/2020 12:51:29,16846,4/28/2020 14:41:17,237,,18693,4/28/2020 13:19:36,Nominal delivery,4/28/2020 14:02:10,4/28/2020 14:37:23,,,,COVID-19 samples,,,,,,,4/28/2020 10:44:24
4/28/2020,Abesre CHPS,4/28/2020 10:04:21,Resupply - Medical,4/28/2020 10:29:17,15237,4/28/2020 10:32:24,552,,18697,4/28/2020 10:34:30,Nominal delivery,4/28/2020 11:12:17,4/28/2020 12:01:44,,,,,,,,,,,4/28/2020 10:04:21
4/28/2020,Asitey HC,4/28/2020 10:00:42,Resupply - Vaccine,4/28/2020 10:24:57,15287,4/28/2020 10:28:15,243,,18696,4/28/2020 10:31:32,Nominal delivery,4/28/2020 11:09:17,4/28/2020 11:53:56,,,,Wait for Zip to clear exceptions (use GPS specific off-nominal if waiting for GPS),Wait for launcher to be free,,,,,,4/28/2020 10:00:42
4/28/2020,Asitey HC,4/28/2020 10:00:42,Resupply - Vaccine,4/28/2020 10:11:52,15177,4/28/2020 10:17:55,207,,18682,4/28/2020 10:20:27,Nominal delivery,4/28/2020 10:58:35,,,,,,,,,,,,4/28/2020 10:00:42
4/28/2020,Abomosu HC (via Abomosu Health Center),4/28/2020 09:30:00,Resupply - Medical,4/28/2020 09:47:41,17355,4/28/2020 09:52:00,228,,18690,4/28/2020 09:57:04,Nominal delivery,4/28/2020 10:32:56,4/28/2020 11:06:19,,,,Wait for launcher to be free,Swap Zip component due to failed preflight inspection,,,,,,4/28/2020 09:30:00
4/28/2020,Abomosu HC (via Abomosu Health Center),4/28/2020 09:30:00,Resupply - Medical,4/28/2020 09:43:27,17337,4/28/2020 09:46:54,548,,18673,4/28/2020 09:52:21,Nominal delivery,4/28/2020 10:27:35,4/28/2020 11:00:35,,,,Wait for Zip to clear exceptions (use GPS specific off-nominal if waiting for GPS),Wait for launcher to be free,,,,,,4/28/2020 09:30:00
4/28/2020,Abomosu HC (via Abomosu Health Center),4/28/2020 09:30:00,Resupply - Medical,4/28/2020 09:42:08,17332,4/28/2020 09:44:17,538,,18666,4/28/2020 09:47:47,Nominal delivery,4/28/2020 10:21:23,4/28/2020 10:55:23,,,,Swap Zip component due to failed preflight inspection,,,,,,,4/28/2020 09:30:00
4/28/2020,Abomosu HC (via Abomosu Health Center),4/28/2020 09:30:00,Resupply - Medical,4/28/2020 09:33:53,17336,4/28/2020 09:41:40,566,,18665,4/28/2020 09:44:25,Nominal delivery,4/28/2020 10:16:09,4/28/2020 10:52:15,,,,,,,,,,,4/28/2020 09:30:00
4/28/2020,Fatem CHPS,4/28/2020 08:58:56,Resupply - Vaccine,4/28/2020 09:02:09,17335,4/28/2020 09:16:22,542,,18676,4/28/2020 09:19:05,Nominal delivery,4/28/2020 10:00:37,4/28/2020 10:49:44,,,,,,,,,,,4/28/2020 08:58:56
4/28/2020,Kwasi Nyarko CHPS (via Kwasi Nyarko CHPs),4/28/2020 08:43:46,Resupply - Medical,4/28/2020 08:46:07,17330,4/28/2020 08:53:03,548,,18674,4/28/2020 08:56:21,Nominal delivery,4/28/2020 09:23:13,4/28/2020 09:47:01,,,,Wait for Zip to clear exceptions (use GPS specific off-nominal if waiting for GPS),,,,,,,4/28/2020 08:43:46
4/28/2020,Ekye Central CHPS (Indirect) (via Ekye Health Centre),4/28/2020 08:22:45,Resupply - Medical,4/28/2020 08:31:08,16900,4/28/2020 08:33:47,549,,18671,4/28/2020 08:38:20,Nominal delivery,4/28/2020 09:28:39,4/28/2020 10:27:38,,,,Delay follow-up flight to distant delivery site due to battery life concerns,,,,,,,4/28/2020 08:22:45
